# Time-averaged data for fix savg
# TimeStep v_gamma c_myP[1] c_myP[2] c_myP[4]
26300 0.00262505 434.541 154.123 -537.857
26400 0.00263505 432.94 152.795 -540.501
26500 0.00264505 431.117 151.752 -543.149
26600 0.00265505 429.804 151.763 -545.828
26700 0.00266505 428.218 151.406 -548.543
26800 0.00267505 425.993 149.939 -551.258
26900 0.00268505 423.888 148.63 -553.948
27000 0.00269505 422.207 148.354 -556.621
27100 0.00270505 419.832 147.794 -559.297
27200 0.00271505 416.797 146.257 -561.975
27300 0.00272505 414.178 144.794 -564.62
27400 0.00273505 412.122 144.107 -567.195
27500 0.00274505 409.127 143.116 -569.716
27600 0.00275505 405.294 141.461 -572.224
27700 0.00276505 402.012 140.018 -574.7
27800 0.00277505 399.465 139.005 -577.086
27900 0.00278505 395.93 137.434 -579.374
28000 0.00279505 391.34 135.435 -581.609
28100 0.00280505 387.269 134.013 -583.801
28200 0.00281505 383.955 132.824 -585.912
28300 0.00282505 379.83 130.709 -587.904
28400 0.00283505 374.813 128.276 -589.787
28500 0.00284505 370.175 126.788 -591.598
28600 0.00285505 365.952 125.54 -593.348
28700 0.00286505 360.974 123.043 -594.993
28800 0.00287505 355.444 120.121 -596.496
28900 0.00288505 350.413 118.379 -597.887
29000 0.00289505 345.379 117.022 -599.218
29100 0.00290505 339.471 114.389 -600.487
29200 0.00291505 333.392 111.221 -601.628
29300 0.00292505 328.089 109.151 -602.624
29400 0.00293505 322.38 107.488 -603.529
29500 0.00294505 315.489 104.755 -604.407
29600 0.00295505 308.664 101.62 -605.215
29700 0.00296505 303.063 99.3893 -605.902
29800 0.00297505 296.934 97.3091 -606.475
29900 0.00298505 289.333 94.4051 -607.028
30000 0.00299505 281.766 91.5344 -607.575
30100 0.00300505 275.716 89.479 -608.081
30200 0.00301505 269.229 87.0716 -608.49
30300 0.00302505 261.249 83.8849 -608.871
30400 0.00303505 253.202 81.3314 -609.287
30500 0.00304505 246.654 79.7939 -609.772
30600 0.00305505 239.755 77.4074 -610.249
30700 0.00306505 231.7 74.0263 -610.719
30800 0.00307505 223.703 71.7559 -611.232
30900 0.00308505 216.915 70.9139 -611.903
31000 0.00309505 209.603 69.0004 -612.701
31100 0.00310505 201.65 65.815 -613.579
31200 0.00311505 194.308 63.9054 -614.51
31300 0.00312505 187.902 63.7442 -615.63
31400 0.00313505 180.51 62.6261 -617.001
31500 0.00314505 172.869 60.2326 -618.589
31600 0.00315505 166.73 59.0478 -620.284
31700 0.00316505 161.552 59.5159 -622.151
31800 0.00317505 154.909 59.2421 -624.305
31900 0.00318505 148.109 58.1494 -626.789
32000 0.00319505 143.659 58.2619 -629.47
32100 0.00320505 140.48 59.4499 -632.285
32200 0.00321505 135.714 59.8489 -635.308
32300 0.00322505 130.708 60.1668 -638.638
32400 0.00323505 128.427 61.9737 -642.216
32500 0.00324505 127.633 64.0837 -645.887
32600 0.00325505 125.601 64.9579 -649.612
32700 0.00326505 123.364 66.3249 -653.461
32800 0.00327505 123.63 69.635 -657.487
32900 0.00328505 125.055 72.6769 -661.551
33000 0.00329505 125.77 73.9365 -665.544
33100 0.00330505 126.623 75.7959 -669.434
33200 0.00331505 129.441 79.8076 -673.333
33300 0.00332505 132.651 83.5651 -677.277
33400 0.00333505 135.407 85.2586 -681.154
33500 0.00334505 138.827 87.3052 -684.801
33600 0.00335505 143.902 91.356 -688.31
33700 0.00336505 148.353 95.1079 -691.763
33800 0.00337505 152.186 97.0491 -695.179
33900 0.00338505 157.084 99.1455 -698.385
34000 0.00339505 163.547 102.607 -701.372
34100 0.00340505 168.833 105.707 -704.225
34200 0.00341505 173.17 107.571 -707.072
34300 0.00342505 178.636 109.727 -709.815
34400 0.00343505 185.684 112.589 -712.379
34500 0.00344505 191.505 114.741 -714.759
34600 0.00345505 196.19 116.153 -717.104
34700 0.00346505 201.77 118.272 -719.43
34800 0.00347505 208.737 120.71 -721.684
34900 0.00348505 214.719 121.977 -723.776
