# Time-averaged data for fix savg
# TimeStep c_myP[1] c_myP[2] c_myP[4]
33300 -77.5319 -1263.11 -23.346
33400 -61.406 -1269.28 92.0744
33500 1.72849 -1047.47 91.9484
33600 110.735 -1064.61 45.999
33700 -30.6213 -1210.92 49.2965
33800 -1.8477 -1251.64 116.229
33900 -18.3775 -1203.49 126.684
34000 -43.73 -1178.53 32.8757
34100 -131.83 -1322.6 11.644
34200 -16.8153 -1138.34 105.646
34300 5.50658 -1192.68 77.6733
34400 -13.8709 -1129.91 126.461
34500 -137.123 -1416.36 14.6777
34600 -79.69 -1194.25 20.7954
34700 131.463 -1031.05 97.2993
34800 51.1058 -1113.8 55.5545
34900 6.9671 -1241.01 8.70989
35000 87.6769 -1109.91 -13.1295
35100 111.742 -1090.19 17.0701
35200 -34.0015 -1039.96 62.2377
35300 98.5088 -1120.41 32.6716
35400 191.729 -1030.19 -44.378
35500 174.095 -916.955 47.3694
35600 -73.8399 -1024.81 26.425
35700 88.1127 -955.281 100.765
35800 263.752 -998.209 -33.5416
35900 200.77 -933.738 14.4028
36000 117.624 -867.997 53.0773
36100 198.896 -777.143 49.5627
36200 215.885 -900.359 3.19345
36300 106.046 -1020.83 -22.7901
36400 -12.86 -1039.22 -17.063
36500 -47.5402 -913.747 -4.75991
36600 104.452 -989.519 29.2184
36700 95.3087 -1038.74 -34.9727
36800 115.85 -1003.42 39.9608
36900 24.1 -859.677 -0.49835
37000 52.228 -971.512 41.3164
37100 36.77 -1242.82 -21.6346
37200 163.094 -1080.7 20.9786
37300 178.922 -878.803 9.7664
37400 -119.065 -925.04 104.728
37500 141.35 -1196.68 82.5284
37600 165.505 -1035.51 67.5198
37700 -24.9639 -1124.58 94.7814
37800 -339.025 -1139.04 85.1538
37900 -105.673 -1168.18 88.7881
38000 48.6243 -1257.25 67.6273
38100 -27.7688 -1277.23 151.015
38200 -228.267 -1218.73 102.187
38300 -58.4504 -1128.74 87.5658
38400 -64.7254 -1273.57 18.498
38500 -50.2635 -1304.73 39.4799
38600 -182.276 -1381.89 134.416
38700 -68.2407 -1304.21 9.35524
38800 -315.636 -1407 32.3584
38900 -21.2735 -1492.43 -18.9567
39000 -216.73 -1481.2 134.519
39100 35.8633 -1145.34 49.9191
39200 -76.7484 -1383.13 58.1195
39300 36.2431 -1386.96 -61.6064
39400 -47.5481 -1481.92 106.042
39500 -53.9704 -1225.07 9.14331
39600 -192.616 -1442.68 95.6465
39700 -92.1081 -1376.38 -45.322
39800 23.2957 -1411.49 43.7953
39900 -156.101 -1358.92 75.281
40000 -315.052 -1449.98 98.0525
40100 -181.019 -1356.68 -78.5228
40200 17.2448 -1462.53 -47.7758
40300 18.1198 -1390.57 58.8486
40400 -88.8029 -1385.23 -18.2084
40500 -171.358 -1388.82 -43.1475
40600 -74.414 -1464.16 -109.278
40700 -168.737 -1582.01 70.2262
40800 -101.836 -1498.94 119.286
40900 -152.278 -1389.05 25.6807
41000 -29.122 -1370.63 -60.8105
41100 -77.5135 -1528 45.9445
41200 -110.277 -1477.15 89.5384
41300 -255.343 -1484.48 126.03
41400 -161.369 -1534.15 13.824
41500 -52.938 -1473.68 24.5921
41600 -119.863 -1410.42 123.696
41700 -128.795 -1451.66 145.936
41800 -237.378 -1335.06 45.4643
41900 -175.699 -1544.94 -7.25644
42000 -165.992 -1471.85 72.2976
42100 -20.3713 -1379.13 102.917
42200 -95.3765 -1355.72 76.9919
42300 -55.5252 -1371.4 -35.0591
42400 -29.7668 -1417.91 78.1937
42500 -52.0451 -1473.62 78.4014
42600 -130.409 -1424.91 159.976
42700 9.26957 -1332.99 -21.7641
42800 -4.0779 -1304.74 -3.9668
42900 119.256 -1301.74 75.9791
43000 51.0416 -1297.23 112.918
43100 95.3638 -1235.04 -18.9262
43200 13.5212 -1252.31 -1.2534
43300 -8.65287 -1328.35 64.371
43400 110.572 -1333.62 120.135
43500 74.6488 -1215.25 35.4491
43600 117.445 -1222.55 -11.3666
43700 68.0158 -1297.19 -13.4983
43800 98.618 -1308.8 74.4617
43900 20.3129 -1291.21 13.5859
44000 0.728855 -1312.46 -72.7751
44100 112.776 -1344.42 -67.024
44200 97.6551 -1262.76 36.3043
44300 176.625 -1361.82 -10.3004
44400 79.7126 -1313.53 5.10631
44500 69.1597 -1492.5 -75.6709
44600 10.9254 -1510.69 44.6125
44700 127.925 -1395.02 3.06103
44800 -4.66506 -1479.87 82.5322
44900 62.2563 -1518.42 26.2706
45000 -32.116 -1593.88 73.5928
45100 -74.7618 -1643.47 47.8474
45200 -217.966 -1761.19 110.704
45300 -51.0382 -1717.7 -1.8868
45400 -87.761 -1712.89 90.0588
45500 -109.802 -1628.7 30.9088
45600 -162.634 -1835.24 50.1802
45700 -172.187 -1679.15 -5.72354
45800 -165.591 -1902.98 73.2471
45900 -186.056 -1759.76 42.15
46000 -241.271 -1870.77 53.7076
46100 -175.061 -1734.56 6.28509
46200 -152.226 -1786.52 64.3607
46300 -162.741 -1723.12 130.487
46400 -210.763 -1923.55 8.95831
46500 -272.478 -1740.2 98.5578
46600 -158.945 -1832.97 63.2376
46700 -158.209 -1797.23 129.991
46800 -105.068 -1831.81 27.1922
46900 -159.176 -1667.67 57.8519
47000 -100.609 -1749.48 -4.40725
47100 -213.22 -1726.43 93.7006
47200 -114.776 -1739.76 22.8264
47300 -195.075 -1712.12 71.0526
47400 -139.92 -1676.03 13.1921
47500 -155.915 -1718.63 57.7775
47600 71.552 -1569.08 18.0893
47700 14.6966 -1620.57 -67.9796
47800 -150.067 -1582.13 13.4805
47900 -151.326 -1711.27 -127.609
48000 11.7608 -1563.8 10.3829
48100 -40.7749 -1666.77 -12.9139
48200 -124.615 -1597.05 14.1276
48300 -30.5658 -1537.38 -20.1404
48400 40.7763 -1463.74 64.8774
48500 -35.8188 -1580.89 -25.674
48600 -170.866 -1651.87 109.67
48700 -89.6353 -1583.89 -0.925107
48800 -155.033 -1527.62 59.1565
48900 -90.2542 -1699 66.2894
49000 -117.194 -1670.51 120.418
49100 -115.604 -1655.89 14.9497
49200 -227.505 -1694.51 32.7744
49300 -231.215 -1797.6 31.235
49400 -125.922 -1787.3 88.4937
49500 -44.2436 -1575.48 45.1795
49600 -277.501 -1625.31 -2.02511
49700 -254.114 -1767.38 54.7068
49800 -132.116 -1753.42 80.9687
49900 -26.3347 -1755.96 54.7718
50000 -168.779 -1678.57 42.5698
50100 -121.045 -1686.61 47.7579
50200 -19.201 -1658.74 68.8857
50300 -31.2088 -1916.61 62.9298
50400 -205.603 -1783.44 126.691
50500 -220.187 -1786.83 47.2702
50600 -28.5165 -1574.44 26.953
50700 11.9667 -1883.77 75.1541
50800 -66.9491 -1962.16 50.1367
50900 -232.114 -1826.94 22.2669
51000 -169.47 -1812.95 -21.6196
51100 -239.588 -2068.18 20.5051
51200 -73.0036 -2031.64 5.65594
51300 -84.3027 -1822.82 -1.98001
51400 -80.5527 -1794.74 -63.5991
51500 -141.644 -2041.58 -84.6355
51600 -44.3043 -2120.83 12.4498
51700 -13.2591 -1827.44 54.9133
51800 -150.243 -1913.2 -53.7257
51900 -155.609 -1869.2 41.034
52000 75.8362 -2037.26 -15.9847
52100 47.6202 -1976.82 47.2539
52200 -174.88 -2012.4 56.2746
52300 -209.996 -1913.8 32.5595
52400 2.97125 -2021.75 -20.7999
52500 -56.2546 -2023.83 -8.49328
52600 -163.062 -2215.36 10.9715
52700 -387.107 -2002.75 96.1126
52800 -145.331 -2148.97 16.9091
52900 -314.541 -2236.07 60.2279
53000 -173.876 -2224.19 56.9805
53100 -246.232 -2056.88 59.6364
53200 -215.826 -2036.96 70.181
53300 -298.355 -2205.76 35.7215
53400 -198.158 -2169.98 80.9192
