# Time-averaged data for fix savg
# TimeStep c_myP[1] c_myP[2] c_myP[4]
24200 -822.727 -113.646 -0.0813222
24300 -828.345 -117.606 -0.0593794
24400 -834.489 -122.664 -0.0332098
24500 -840.929 -128.091 -0.00251298
24600 -846.919 -132.756 0.0318839
24700 -852.894 -137.425 0.0698959
24800 -859.462 -143.286 0.111329
24900 -865.971 -149.525 0.15537
25000 -871.897 -155.054 0.201301
25100 -878.131 -160.581 0.24943
25200 -885.121 -167.083 0.29835
25300 -891.826 -173.911 0.347716
25400 -897.694 -180.225 0.396834
25500 -904.018 -186.691 0.445354
25600 -911.333 -193.952 0.492642
25700 -918.305 -201.298 0.537754
25800 -924.236 -208.281 0.579848
25900 -930.597 -215.775 0.617936
26000 -938.024 -223.926 0.651732
26100 -945.147 -231.711 0.679892
26200 -951.231 -239.087 0.702059
26300 -957.668 -247.386 0.716532
26400 -964.99 -256.384 0.723607
26500 -971.975 -264.575 0.721503
26600 -978.168 -272.107 0.710795
26700 -984.78 -280.811 0.68923
26800 -991.9 -290.334 0.65797
26900 -998.405 -298.767 0.615028
27000 -1004.47 -306.221 0.56251
27100 -1011.28 -314.779 0.498324
27200 -1018.22 -324.097 0.425024
27300 -1024.03 -332.217 0.340911
27400 -1029.65 -339.217 0.249874
27500 -1036.51 -346.988 0.15075
27600 -1043.32 -355.071 0.0477021
27700 -1048.48 -361.881 -0.060171
27800 -1053.51 -367.775 -0.167776
27900 -1060.13 -374.109 -0.275098
28000 -1066.79 -379.982 -0.377108
28100 -1071.59 -384.383 -0.474023
28200 -1076.2 -388.369 -0.561451
28300 -1082.42 -392.789 -0.640071
28400 -1088.81 -396.059 -0.705867
28500 -1093.57 -397.512 -0.756739
28600 -1098.23 -399.052 -0.791681
28700 -1104.17 -401.228 -0.812171
28800 -1110.05 -401.894 -0.816728
28900 -1114.86 -400.533 -0.806146
29000 -1119.91 -399.563 -0.78113
29100 -1125.81 -399.472 -0.742357
29200 -1131.17 -397.984 -0.690978
29300 -1135.9 -394.578 -0.629144
29400 -1141.39 -391.517 -0.557356
29500 -1147.51 -389.355 -0.47724
29600 -1152.51 -386.174 -0.392201
29700 -1156.99 -381.4 -0.302238
29800 -1162.7 -376.987 -0.209412
29900 -1169 -373.148 -0.11578
30000 -1173.84 -368.474 -0.023396
30100 -1178.07 -362.904 0.0662025
30200 -1183.64 -357.895 0.151349
30300 -1189.85 -352.979 0.231075
30400 -1194.61 -347.182 0.303868
30500 -1198.65 -341.12 0.368474
30600 -1203.84 -335.952 0.424396
30700 -1209.56 -330.55 0.470769
30800 -1214.07 -324.037 0.507584
30900 -1218.02 -317.65 0.533748
31000 -1222.79 -312.537 0.549985
31100 -1227.71 -307.148 0.555724
31200 -1231.73 -300.487 0.552499
31300 -1235.57 -294.051 0.539636
31400 -1240.01 -289.045 0.518881
31500 -1244.11 -283.917 0.489763
31600 -1247.44 -277.624 0.454792
31700 -1251.06 -271.547 0.413713
31800 -1255.29 -266.747 0.368894
31900 -1258.77 -261.956 0.31982
32000 -1261.44 -256.36 0.269106
32100 -1264.73 -251.058 0.216594
32200 -1268.77 -246.676 0.164672
32300 -1271.93 -242.241 0.112721
32400 -1274.23 -237.433 0.0627941
32500 -1277.2 -233.168 0.0145503
32600 -1281.01 -229.481 -0.0300658
32700 -1284.06 -225.495 -0.07167
32800 -1286.34 -221.434 -0.108991
32900 -1289.2 -218.24 -0.142619
33000 -1292.78 -215.458 -0.171319
33100 -1295.82 -212.105 -0.195591
33200 -1298.36 -208.757 -0.214828
33300 -1301.38 -206.508 -0.229735
33400 -1304.85 -204.678 -0.239818
33500 -1307.88 -202.148 -0.245438
33600 -1310.8 -199.573 -0.24642
33700 -1314.24 -198.115 -0.243387
33800 -1317.8 -197.129 -0.236457
33900 -1320.88 -195.518 -0.225937
34000 -1324.16 -193.839 -0.211945
34100 -1328.14 -193.108 -0.194918
34200 -1332.01 -192.797 -0.175352
34300 -1335.28 -192.06 -0.153614
34400 -1338.89 -191.377 -0.13004
34500 -1343.37 -191.414 -0.104904
34600 -1347.7 -191.659 -0.0788022
34700 -1351.33 -191.656 -0.0521904
34800 -1355.3 -191.964 -0.0255468
34900 -1360.19 -192.85 0.000902262
35000 -1364.98 -193.639 0.0267032
35100 -1369.12 -194.224 0.0513614
35200 -1373.56 -195.402 0.0744056
35300 -1378.78 -197.162 0.0955284
35400 -1383.93 -198.562 0.11456
35500 -1388.64 -199.672 0.13106
35600 -1393.66 -201.548 0.144771
35700 -1399.22 -204.095 0.155242
35800 -1404.62 -206.168 0.162612
35900 -1409.83 -207.842 0.166538
36000 -1415.51 -210.284 0.167169
36100 -1421.51 -213.449 0.163934
36200 -1427.11 -216.189 0.157218
36300 -1432.7 -218.562 0.146522
36400 -1439.06 -221.624 0.132568
36500 -1445.56 -225.213 0.115457
36600 -1451.41 -228.432 0.0956204
36700 -1457.26 -231.451 0.0723337
36800 -1464.05 -235.037 0.0467393
36900 -1471.06 -238.95 0.0184538
37000 -1477.27 -242.522 -0.0116225
37100 -1483.4 -246.178 -0.0436395
37200 -1490.52 -250.421 -0.0763553
37300 -1497.87 -254.628 -0.109822
37400 -1504.47 -258.34 -0.143078
37500 -1510.97 -262.435 -0.176408
37600 -1518.34 -267.305 -0.208625
37700 -1525.87 -271.905 -0.239503
37800 -1532.8 -275.768 -0.267824
37900 -1539.8 -280.15 -0.293563
38000 -1547.44 -285.495 -0.315802
38100 -1554.99 -290.49 -0.334209
38200 -1562.09 -294.581 -0.347732
38300 -1569.61 -299.17 -0.35609
38400 -1577.64 -304.788 -0.358764
38500 -1585.19 -310.105 -0.355478
38600 -1592.31 -314.568 -0.345681
38700 -1600.27 -319.463 -0.32899
38800 -1608.75 -325.215 -0.305406
38900 -1616.41 -330.674 -0.274911
